施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FormURL,連絡先_郵便番号,連絡先_住所,緊急避妊に係る診療が可能な産婦人科医療機関等_産科、婦人科又は産婦人科の標榜の有無,緊急避妊に係る診療が可能な産婦人科医療機関等_医療機関における緊急避妊にかかる対面診療への対応可能時間帯,緊急避妊に係る診療が可能な産婦人科医療機関等_常時の緊急避妊薬の在庫の有無,エラー
山梨大学医学部附属病院,192147,山梨県,中央市,35.6092,138.538177,055-273-1111,,409-3898,山梨県中央市下河東1110,有,平日 9:00~14:00,有,
甲府共立病院,192015,山梨県,甲府市,35.667183,138.564682,055-226-3131,http://www.yamanashi-min.jp/sanfujinka/,400-0034,山梨県甲府市宝1-9-1,有,24時間365日時間帯によって費用が異なります,有,
北杜市立甲陽病院,192090,山梨県,北杜市,35.836624,138.38266,0551-32-3221,,408-0034,山梨県北杜市長坂町大八田3954,有,月曜 8:30~11:30金曜 8:30~11:30,有,
国民健康保険富士吉田市立病院,192023,山梨県,富士吉田市,35.426395,138.753159,0555-22-4111,,403-0005,山梨県富士吉田市上吉田6530,有,9:00~12:00,有プラノバールあり,
都留市立病院,192040,山梨県,都留市,35.562576,138.903732,0554-45-1811,https://www.city.tsuru.yamanashi.jp/byoin/,402-0056,山梨県都留市つる5-1-55,有,平日 8:30~17:15土曜 8:30~12:30,有,
(医)あとべ会 産婦人科跡部医院,192015,山梨県,甲府市,35.645031,138.569733,055-233-5456,,400-0856,山梨県甲府市伊勢2-15-6,有,平日 9:00~18:00(木曜休診)第1/3/5土曜日 9:00~12:00第2/4土曜日 9:00~15:00,有,
依田産科婦人科クリニック,192015,山梨県,甲府市,35.657574,138.580353,055-220-7511,,400-0861,山梨県甲府市城東2-16-6,有,月・火・木・金 9:00~13:00、15:00~18:00水・土 9:00~13:00,有,
医療法人社団浩明会 梶山クリニック,192015,山梨県,甲府市,35.655182,138.546127,055-222-9200,,400-0047,山梨県甲府市徳行1-3-20,有,平日 9:00~17:00木・土 9:00~12:00時間外でも、まず電話をかけてください,有,
産科婦人科清水クリニック,192015,山梨県,甲府市,35.647442,138.614304,055-221-0341,,400-0813,山梨県甲府市向町450-5,有,月・火・木・金 9:00~16:30土 9:00~12:00,有,
羽田レディースクリニック,192023,山梨県,富士吉田市,35.476006,138.791107,0555-30-0311,,403-0005,山梨県富士吉田市上吉田6-10-14,有,月・火・水・金 8:30~12:30、14:30~18:30木・土 8:30~12:30日・祝 休診,有,
加賀谷医院,192023,山梨県,富士吉田市,35.426395,138.753159,0555-23-2450,,403-0032,山梨県富士吉田市上吉田3032-1,有,平日 8:00~18:00土曜木曜 8:00~12:00,有,
堀内産婦人科医院,192023,山梨県,富士吉田市,35.490414,138.809921,0555-22-1151,,403-0004,山梨県富士吉田市下吉田7-3-14,有,月・火・水・金 9:00~12:00、16:00~17:30木 9:00~12:00土・日 9:00~12:00(要確認),有,
山梨市立産婦人科医院,192058,山梨県,山梨市,35.68689,138.687683,0553-20-1230,,405-0018,山梨県山梨市上神内川172,有,平日 9:00~11:30、15:00~17:30(水・土は午前のみ)祝祭日・日曜日は要相談,有,
稚枝子おおつきクリニック,192066,山梨県,大月市,35.61237,138.943161,0554-56-7766,http://www.chieko-clinic.com/,401-0013,山梨県大月市大月1-8-5,有,平日 9:15~18:00土曜 8:15~13:00,有,
武者医院,192066,山梨県,大月市,35.610485,138.941086,0554-23-1166,,401-0013,山梨県大月市大月1-15-18,有,平日 9:00~18:00,有,
韮崎おはな産婦人科,192074,山梨県,韮崎市,35.711136,138.452728,0551-22-1070,https://nirasakiohana.com/,407-0014,山梨県韮崎市富士見1-3-9,有,月・火・木・金 9:00~17:00水・土 9:00~12:00,有,
女性クリニック秋山医院,192082,山梨県,南アルプス市,35.633324,138.466583,055-282-2017,http://akiyama.byoinnavi.jp/pc/,400-0221,山梨県南アルプス市在家塚155,有,月・火・木・金 8:30~18:00土 8:30~12:30,有,
竜王レディースクリニック,192104,山梨県,甲斐市,35.654179,138.516571,055-279-4132,https://ryuo-ladies.jp,400-0115,山梨県甲斐市篠原2199,有,平日 8:00~20:00休日 8:00~13:00(土) 8:00~15:00他の時間帯も可能な限り適宜対応します。対応時間により料金が異なります,有,
長坂クリニック,192112,山梨県,笛吹市,35.623287,138.618896,055-262-1103,https://naga9.jp,406-0033,山梨県笛吹市石和町小石和2645,有,平・土・日 9:00~17:00,有,
医療法人田辺産婦人科,193844,山梨県,中巨摩郡昭和町,35.630337,138.546387,055-275-3577,http://www.tanabe-clinic.net,409-3866,山梨県中巨摩郡昭和町西条640,有,年間365日24時間対応,有,
渡辺医院,194301,山梨県,南都留郡富士河口湖町,35.498829,138.761536,0555-72-2835,https://www.fujisanwatanabe-lc.com,401-0301,山梨県南都留郡富士河口湖町船津1496,有,平日・土曜日 9:00~12:00、15:00~18:00,有,
